Accession,ALL_19769_B-cell,ALL_23953_B-cell,ALL_28373_B-cell,ALL_9335_B-cell,ALL_9692_B-cell,ALL_14749_B-cell,ALL_17281_B-cell,ALL_19183_B-cell,ALL_20414_B-cell,ALL_21302_B-cell,ALL_549_B-cell,ALL_17929_B-cell,ALL_20185_B-cell,ALL_11103_B-cell,ALL_18239_B-cell,ALL_5982_B-cell,ALL_7092_B-cell,ALL_R11_B-cell,ALL_R23_B-cell,ALL_16415_T-cell,ALL_19881_T-cell,ALL_9186_T-cell,ALL_9723_T-cell,ALL_17269_T-cell,ALL_14402_T-cell,ALL_17638_T-cell,ALL_22474_T-cell,AML_12,AML_13,AML_14,AML_16,AML_20,AML_1,AML_2,AML_3,AML_5,AML_6,AML_7,"
"
L38932_at,2022,1807,1391,2039,1562,875,1609,1008,1410,1170,997,920,3184,2241,1767,1172,1093,1664,1896,1425,2352,1200,2421,1474,1540,1331,1456,1320,1247,2282,2097,1918,1697,924,1533,1879,1660,2574,"
"
L38941_at,15962,18467,16105,16187,13616,9175,17992,13319,18764,12455,14222,20403,22256,28788,12730,20579,14208,15347,21247,21492,18004,11471,18751,17750,21849,18691,13286,22395,13301,10992,20051,23510,20325,16982,20297,16822,16828,21218,"
"
L40027_at,1125,792,975,868,1065,395,1280,979,1116,1760,634,663,2187,1494,717,1171,871,1271,200,829,1110,762,1918,841,1206,949,870,952,771,975,1150,1060,817,683,680,823,1257,1235,"
"
L43631_at,841,699,834,890,571,307,1146,779,605,955,437,823,3314,828,632,1181,408,653,599,761,845,499,995,584,1039,916,327,546,406,745,449,1066,722,430,675,393,527,545,"
"
L76191_at,1720,1599,1569,1925,876,2128,1696,2065,1271,1535,678,762,1933,1049,789,2190,1037,1670,957,1127,1093,638,1678,575,1191,1106,819,1090,764,2248,2081,761,1151,1153,2756,1123,1108,2412,"
"
M11119_at,1768,2045,900,2651,1191,780,836,872,1411,1705,1193,877,1699,1492,1301,2231,828,891,2022,1189,2087,983,1136,1076,1079,1328,415,1175,1106,1263,1257,1385,1350,591,893,869,1584,2062,"
"
M11147_at,5418,7070,9017,4746,7880,15281,6183,8506,3720,12669,9784,4454,13983,2900,6073,6023,13276,4719,4109,17348,6154,6221,9428,5094,6026,13077,3757,12411,7855,24559,21271,20121,16704,11014,18367,12275,19169,21484,"
"
M11353_at,14913,14619,14573,14649,17008,9183,12586,13228,14485,16092,4215,11166,16812,17227,11359,15896,7077,8794,13122,14924,19770,10619,15045,9427,15489,16065,10126,9208,10726,9410,13233,10435,11837,7934,8474,10303,14906,9106,"
"
M13450_at,2149,2192,2172,2409,1152,829,1711,2262,1466,3122,901,870,3565,1215,881,3018,1658,1354,976,1870,3233,1625,3795,1508,3109,1866,1427,1634,1315,999,1333,1295,1728,920,1280,1144,1522,1768,"
"
M13792_at,3221,5364,2837,6067,3103,1695,4765,9000,10228,8464,2091,2274,12213,2973,1743,5981,2425,3323,2617,10954,16523,16135,15230,8986,8629,3529,12900,912,2551,1299,752,2707,2493,487,769,1613,4148,1445,"
"
M13934_cds2_at,14108,15496,15002,17769,14009,19080,13783,14792,15913,9273,15968,17915,14515,3070,16167,15575,15882,15302,16948,12913,16060,16775,16462,17697,17066,16001,17407,16155,17757,17020,17367,18178,16524,18982,15605,19472,11917,17058,"
"
M15182_at,1491,819,1209,947,698,768,1055,1369,938,1166,634,814,3495,1069,589,1310,687,1004,611,845,1354,967,1587,860,784,1265,970,1416,1000,1744,1467,854,1031,1241,2606,2005,1055,765,"
"
M15661_at,926,1407,1346,1371,404,1007,911,1895,979,676,1294,977,2624,2020,672,1829,659,759,693,1646,1723,1477,1891,1083,3407,1467,1027,1414,949,1304,2134,1255,1399,2159,1723,1489,1086,2448,"
"
M17733_at,14223,15790,15470,18804,17173,25623,18530,17499,19989,15076,23354,14427,14830,20840,10034,18546,16070,14955,12984,17650,21790,29496,17821,21885,17788,14919,21603,13910,13424,17359,14383,15137,11442,10320,16797,14025,15936,17196,"
"
M17885_at,20663,23052,22863,19900,26800,28621,21474,23891,25395,22129,26443,23303,15226,24694,23083,23082,26230,23628,28290,23952,21865,27994,19759,28046,25522,23810,27360,23055,25309,23345,24565,22199,23444,30359,22411,28348,25089,22333,"
"
M17886_at,14744,17036,16806,16958,18211,25215,18877,16858,17860,15032,20834,20227,12940,17086,18915,17151,19904,18342,23494,16712,16725,23456,16108,20933,19731,17723,22439,18298,27469,20532,17863,18827,16670,25145,15912,21940,17658,16643,"
"
M18000_at,17748,19994,17680,18971,15778,22068,17259,20365,21279,17548,23021,21418,19278,29485,17537,19389,22677,20719,24395,21825,16886,19997,22218,21805,20864,22061,21174,22010,18846,16364,20221,20399,20907,23994,20407,21747,20718,18246,"
"
M19283_at,6284,10677,15517,7851,7431,3904,11615,14695,11917,14830,14418,6943,16621,3575,11047,10929,6534,10244,8757,14069,13349,6638,16353,9855,9458,7290,9962,7375,4453,10642,5343,5784,8748,11207,13617,8768,8029,6109,"
"
M19483_at,2810,3740,5879,3136,2794,2010,3427,5142,3912,5049,1995,3633,8608,1585,2364,5018,2456,2734,2296,5085,4600,2692,6233,4941,4055,4459,2382,3748,2308,3372,3104,3244,3605,3329,5138,3244,2260,2493,"
"
M20471_at,957,1856,2698,1920,812,651,1633,2784,1438,1274,1426,1493,3981,3390,377,2173,427,543,941,1357,795,969,1788,993,524,1376,595,1517,1238,1266,1209,728,1231,1324,1659,1725,851,779,"
"
M21259_at,1716,2284,3467,1330,1894,1158,1918,3257,2795,2524,1517,2120,6648,6084,2077,3034,1789,1720,1351,2421,3333,1435,3789,2338,3386,2747,1674,1642,1344,1215,1410,1570,2103,2056,1528,1429,1226,1057,"
"
M21812_at,893,657,504,984,881,524,529,458,486,590,578,580,670,319,655,687,557,574,890,622,1180,524,758,683,581,775,505,704,920,983,872,1145,905,358,607,728,1092,1296,"
"
M22382_at,1683,2409,3099,1900,1628,1589,3023,3388,2250,5156,2067,1757,7083,5634,919,3983,4728,2121,2399,1359,1890,1002,2016,2971,1960,3430,1175,1635,1647,1281,1164,824,2785,1254,5524,1819,967,911,"
"
M22538_at,704,905,2204,793,509,787,1647,2337,1118,1979,3069,999,3064,719,844,1062,801,797,483,4107,1010,828,1721,953,1055,1389,788,771,646,1251,2877,3479,1292,2136,2119,1164,623,619,"
"
M22760_at,625,1122,2318,660,538,827,859,1998,982,1499,1790,695,2264,3610,604,1895,1023,955,341,1594,1257,830,2175,1238,1528,2067,830,1295,632,1398,677,707,1194,1224,1730,1421,1005,411,"
"
M23613_at,9459,10292,12619,7522,5161,6711,7346,13437,11936,6731,12232,15895,15981,17810,7744,11729,6822,11033,10448,6073,12040,8241,14820,12028,11495,12217,9600,10457,6052,5887,5965,5309,11523,7993,9246,6757,7872,6362,"
"
M24194_at,16944,20411,19924,16665,19281,15346,18349,18596,22068,13997,24727,25933,17595,22233,21139,18221,17279,21410,25795,14183,19363,19403,19453,23133,20740,20225,19143,19389,17932,16987,19768,21441,18676,22370,18289,22569,19251,19120,"
"
M26880_at,6594,2606,2716,4891,7651,4291,5386,4326,4891,10088,4958,3132,13151,11336,6326,4840,9569,8894,4047,10565,6967,3769,7796,4218,8739,4006,4476,7105,5075,7485,5119,5077,6999,3526,9138,4223,6258,6617,"
"
M29064_at,1513,1235,2008,1450,1185,911,3014,2533,1978,3580,838,1504,4534,2601,244,2688,1322,1646,1411,2221,2239,1515,2347,2096,1388,1858,1203,1183,1065,1790,657,631,1084,833,1409,969,1381,774,"
"
M29536_at,856,1179,1496,814,755,434,895,1786,1174,1464,1180,1095,2688,1661,549,907,946,654,849,856,1185,608,1404,1029,800,1203,599,508,509,587,840,712,590,524,919,631,750,843,"
"
M31013_at,2676,2167,3648,3703,1011,1214,3047,2638,1794,2406,2545,2095,3653,2800,1195,6132,1089,2474,1274,2983,2171,1817,4192,1563,1825,2695,901,2056,1464,4745,1693,857,3710,1767,3970,3404,3169,1953,"
"
M31303_rna1_at,3828,3780,3563,3330,4212,2290,4751,3347,3207,6630,2143,2292,5931,2306,2131,3182,2909,2648,2817,3021,7245,4890,7228,5054,3352,2346,4712,1648,2195,1888,1359,1291,2176,1486,730,3719,1985,1527,"
"
M31520_at,14924,17099,16011,11003,15986,12394,15036,15093,16569,19782,15776,13582,17896,17917,16158,15763,18815,15989,18566,18002,15285,8759,15829,12117,15531,19190,13828,19704,19108,15481,17809,19928,18028,14659,17664,14218,15812,18797,"
"
M31642_at,999,904,1352,690,241,643,1567,1254,551,1366,933,483,1149,1096,249,1125,485,613,344,550,1110,505,1608,1251,940,562,489,681,425,737,578,475,823,518,692,466,393,848,"
"
M32405_at,6163,7942,8221,6320,6498,11769,6839,9251,6595,3957,6315,8314,8335,11735,4415,7415,8099,7582,4621,4830,6853,9394,8204,7423,8491,4844,7412,6618,7206,8050,8680,7626,6290,10268,4123,9644,6733,6640,"
"
M33336_at,1801,1192,2206,976,1286,209,1781,1685,1800,2752,1248,601,3970,497,1167,1597,653,721,747,781,1162,442,1432,363,511,1585,271,519,262,501,187,171,341,654,540,651,956,480,"
"
M33680_at,5565,11689,10308,9427,4741,4101,7747,10614,6738,4369,3990,4555,12742,11199,7909,14682,3233,5779,7408,5318,2583,2647,5521,3094,4194,3076,4348,1467,1639,2043,2839,3588,3768,947,4575,2584,6412,3195,"
"
M34175_at,1128,642,640,796,755,191,763,509,532,911,390,579,1933,372,553,749,576,676,743,755,1206,666,1320,598,662,807,702,834,993,777,741,994,833,544,938,919,859,948,"
"
M34539_at,1703,435,1081,537,809,393,1249,1096,610,1656,699,60,4829,500,185,728,1543,1018,-75,1845,339,782,2252,983,1145,766,260,289,271,1588,478,58,380,743,1945,1603,1616,-489,"
"
M36341_at,775,689,835,675,614,321,586,715,618,1082,515,650,2580,883,483,765,423,284,774,954,954,339,1045,709,912,725,526,566,745,766,1038,1076,722,952,789,703,537,1354,"
"
M37033_at,6095,5558,3868,5292,4807,1570,4313,5622,5218,4449,2837,3736,12235,2033,2935,5006,2630,2746,2149,3794,4756,2665,3738,1895,1559,4573,1073,1600,1870,5337,3048,2977,2480,1056,3947,2879,3777,4024,"
"
M37104_at,712,803,1200,591,617,623,999,1047,977,775,646,657,2054,1532,304,896,721,620,610,1129,1716,928,1311,1035,924,1214,853,712,562,897,656,646,772,684,930,1030,854,423,"
"
M37583_at,2030,1886,1977,1376,1304,1733,4231,3327,1260,3064,2090,994,2977,4788,1199,2538,1868,1428,1553,2741,4259,3279,5364,3169,4217,2226,4272,1657,1466,2499,2594,1471,2854,2138,2072,2209,824,1673,"
"
M58028_at,2450,2288,1983,3824,3263,1912,3814,3386,1683,2509,1269,2169,3864,404,940,2977,2119,3106,1364,2507,3853,2880,3545,2025,2163,3576,2683,1707,1495,3607,1320,1384,1707,662,2499,3934,1745,2368,"
"
M58285_at,1917,1416,1749,824,1845,1013,722,1138,1283,933,1173,733,1790,1176,1162,1993,455,894,1207,1603,3199,1522,1846,909,931,1725,1023,1185,1464,1914,2171,2250,1044,695,2797,1238,1615,1638,"
"
M60854_at,19478,19945,21763,24850,18043,22265,16824,20157,20364,18563,21335,18835,17053,14235,22758,21226,21321,19486,23311,20027,21616,23602,19979,22476,22497,20759,27599,19700,17211,19657,20239,20708,19747,22928,19141,22522,20002,20043,"
"
M60858_rna1_at,5147,4864,7901,3525,3801,3311,6607,6912,5976,8148,3015,6395,12608,3617,3523,7172,4280,5603,3767,5821,6434,4891,8615,7421,5430,6523,4932,4356,3549,4890,4242,4026,5215,2768,4724,4790,4808,3527,"
"
M63483_at,910,1041,1326,850,788,671,1548,1383,1392,777,708,1465,993,815,710,1701,962,436,1057,1260,1646,1244,1407,1399,1046,544,1182,1246,586,994,769,502,1663,823,1522,1474,1145,1898,"
"
M64716_at,13008,13162,11780,12189,13970,18059,10624,13174,12905,10747,15166,13288,11038,20770,15832,11477,15306,13935,16602,13342,13856,17184,12715,12916,14736,13508,17233,14178,15307,13164,13528,13722,12670,17165,12084,15683,12554,12754,"
"
M64992_at,919,1055,1989,675,598,652,1071,1797,1344,1170,1042,852,2526,1555,690,1249,1081,510,475,1276,1443,956,1898,1260,1543,1151,815,856,569,991,1205,1370,1275,1713,1079,992,693,899,"
"
M65254_at,352,302,260,418,439,176,245,237,315,507,610,250,359,214,205,289,241,474,763,199,586,307,355,328,300,308,296,287,312,295,336,287,294,158,226,410,350,463,"
"
M68520_at,569,335,590,141,19,158,691,568,485,702,527,446,956,316,66,689,381,508,251,557,391,243,614,560,541,705,281,404,266,39,401,241,718,326,293,65,406,265,"
"
M69039_at,403,709,1630,877,628,646,872,1582,1137,1581,451,770,2519,1897,513,1288,691,609,948,1063,859,723,1451,1023,1328,1061,817,969,817,425,819,631,782,560,1048,1120,618,453,"
"
M69066_at,6766,2771,4822,2915,5195,5543,9053,4825,4220,13552,4453,2841,7957,1391,2349,5840,4764,7278,1927,8229,6972,3639,9057,5331,7209,8407,2434,7423,3335,6546,3575,8954,6600,4067,9413,5744,6837,7242,"
"
M74002_at,1210,1107,1706,1606,962,698,1471,1505,1043,2397,994,913,3847,3651,1729,1542,942,771,547,2149,1501,679,1365,793,2790,1749,945,2446,1187,1356,1301,2868,1431,988,1176,922,1243,1063,"
"
M74491_at,1815,1821,1870,2690,2313,997,2188,1840,1990,2748,1080,2338,1692,1223,740,3010,854,2061,2043,1790,2659,1911,3345,1520,869,986,1077,2917,1959,3343,1257,712,2451,1393,3110,3812,1631,2501,"
"
M77232_rna1_at,13058,16647,18333,16371,11830,11966,14187,17094,15411,10241,13517,14236,20034,19552,14008,18481,13587,12488,9625,19729,10712,11254,18133,16922,12208,18532,15216,18305,16663,12405,17143,17643,17816,14377,17815,15094,17427,15673,"
"
M81601_at,1467,1022,1279,1268,800,1098,2944,1644,1733,2504,1252,1511,4254,2599,1098,1354,971,791,965,2088,2086,1026,2189,1164,1771,1608,1173,799,759,1198,1552,1699,1359,875,831,1173,1678,1480,"
"
M81757_at,19295,18865,21388,13513,18828,21378,18714,23890,25834,19313,21981,22046,20514,13544,18006,22750,21758,18764,14874,21939,18478,13146,21360,16016,19195,21071,15036,18349,18019,15275,19938,21059,20628,20790,18470,23093,23367,18823,"
"
M83751_at,554,290,893,126,382,196,1140,890,518,923,393,574,2185,302,270,650,735,546,197,1006,912,138,1751,1091,568,367,195,298,214,743,104,500,368,250,1173,650,196,398,"
"
M84332_at,3248,3042,2903,2977,4906,2592,2667,2865,2850,3477,2480,2580,5266,1800,4675,3514,2736,2349,2096,5401,5736,2791,6216,3527,4918,3245,3010,3522,1704,6139,4878,4839,5224,2876,4446,4217,6063,6354,"
"
M84711_at,15442,17589,17797,15316,17448,17089,18015,14147,16670,12872,13209,16025,9861,22218,12206,20515,11963,13848,19038,17789,19702,12827,18902,16346,11898,11890,13290,18554,17355,12383,4847,4862,18179,13557,16104,15029,13847,19478,"
"
M86400_at,6534,5832,6279,4350,6609,3417,11259,6404,8024,9332,2797,5195,9910,3615,6738,5995,4889,4125,3724,7503,9816,5395,11016,7656,6101,5407,4032,3433,1623,6679,4384,3189,5108,2978,10029,4763,5947,6923,"
"
M86667_at,2283,2921,3814,1648,808,1749,2584,3624,2729,4860,3079,2382,6410,9815,1460,3494,1870,2221,1589,2300,2500,1449,3488,3492,4536,2475,2195,3370,1445,1499,1979,2102,2146,1521,2628,1594,2379,1938,"
"
M88108_at,1988,1822,2202,1360,1675,744,2154,2533,1744,3508,1457,1582,4823,2098,1519,2575,1182,1533,1010,2137,1781,1694,2824,1969,2963,2519,1862,1725,1009,1141,1515,1191,1643,1691,1450,1676,2145,1442,"
"
M94556_at,814,987,1958,566,526,227,1280,1241,990,1683,711,741,3117,2577,264,990,754,1189,602,943,1607,629,1792,1047,682,1366,855,924,745,854,635,516,804,730,860,715,858,643,"
"
M94630_at,3364,2583,2747,3108,1738,1460,3016,3151,2175,4525,1533,2229,4867,1730,1535,2826,1791,1454,854,2491,3021,3367,5094,2672,2408,2623,2386,2376,2084,2896,3018,2530,3143,1615,2502,2814,2151,1548,"
"
M94856_at,363,888,2064,719,488,429,2163,1359,809,1042,419,458,2700,833,260,1773,573,452,650,1049,2027,709,1716,1221,772,1411,901,591,577,817,520,246,955,129,1345,473,606,1049,"
"
M95627_at,1228,1095,1197,1883,1836,744,1500,1332,1294,1620,970,1217,2461,537,894,1483,990,1227,1605,1054,1926,1241,1660,1123,1144,1450,1046,1275,1113,1568,1436,1676,1309,695,1381,1748,1467,1801,"
"
M97287_at,1122,1083,534,1796,2137,688,1003,2771,1701,2635,271,1263,4033,1476,605,1732,1848,964,1124,3212,1882,1111,1179,949,996,653,1424,1316,841,769,1071,1178,1861,1171,1034,1157,2744,1207,"
"
S77356_at,1376,1129,1193,1097,3780,830,1451,1161,1364,311,1455,2533,2269,906,1493,3089,925,936,1741,1835,2033,1676,1881,3239,887,4067,1747,7195,1565,4169,3156,3487,2840,947,6894,1828,2203,2436,"
"
S79522_at,14205,11692,16152,13310,14571,11854,12943,13888,14029,14693,12769,13981,17903,19835,12522,15752,15525,14698,10908,15373,15166,10269,14368,12140,15328,15848,15430,15306,15379,13017,14447,17138,14338,12574,14641,10234,14803,15544,"
"
U01038_at,1265,1645,889,1697,1082,648,1074,943,1000,1070,870,748,876,322,785,895,763,806,996,716,1641,748,1451,1098,1176,839,1175,1038,1276,1403,1749,1308,1199,440,1197,950,1346,1693,"
"
U02493_at,6944,5557,5972,5939,5656,5454,6550,5794,4226,9011,3245,2799,8920,5539,5060,6328,3663,2996,3156,5941,8791,6141,12083,5855,7935,5630,7007,4420,3368,5138,4143,3995,5077,2199,4954,5189,4559,4892,"
"
U07857_at,3237,2711,3597,1549,2440,1747,2693,2984,3485,5204,1661,1921,8808,3556,3080,2932,3280,1950,1695,6639,5941,2372,5324,3747,5603,2738,2044,2414,1680,2242,3334,3046,3488,2246,3686,2507,4121,2900,"
"
U09412_at,364,302,304,369,503,186,328,350,183,467,190,225,501,157,431,428,312,300,372,502,412,245,340,468,385,392,520,393,389,316,329,427,289,306,330,346,615,500,"
"
U09564_at,338,416,791,507,326,209,1037,681,367,589,654,423,975,895,211,817,144,230,381,277,723,403,679,443,349,980,334,357,367,328,316,369,443,177,355,210,221,419,"
"
U09813_at,1954,2056,3857,1189,1346,1760,2088,4046,2634,1827,2650,1501,4753,4391,1604,2943,2718,2019,1616,4090,3894,2589,4989,3140,3763,3570,2807,1622,1550,1757,1896,3384,2346,2932,2276,1893,1812,1435,"
"
U09825_at,1142,755,773,705,1169,244,1201,933,667,1784,934,757,1494,878,730,653,602,1087,1046,987,757,599,1140,943,910,911,579,630,579,1230,639,962,783,133,470,741,525,1080,"
"
U09953_at,14573,14988,17703,10299,14145,9751,16478,15156,16295,17938,18475,16321,19888,22793,16658,16405,17723,16898,17934,17462,14024,7402,16000,15111,16323,15309,11533,17130,13263,13261,14596,18485,16100,15410,16188,11788,15124,16543,"
"
U10323_at,3215,3110,3157,3150,4100,1751,3412,3862,2767,3807,2249,2428,7634,3380,2398,2819,2296,1259,1784,3784,4717,3142,6140,3667,4923,2030,3619,1654,1764,2686,3064,2904,3371,1051,2692,2432,2844,3423,"
"
U11861_at,1587,1730,1528,1466,1933,1284,1286,1819,1884,2082,1374,1436,2840,1946,2018,1705,1560,1987,1490,1834,1870,1273,1998,1950,2456,1610,1360,1515,1291,1678,2017,2489,2292,2264,1630,2028,2314,1892,"
"
U12404_at,16874,19405,22103,13801,12484,13008,20578,20539,22740,16367,18986,20392,20198,27333,13748,18904,18405,19522,15747,18656,16738,10340,20627,21014,16467,19140,13815,21371,11753,12505,16036,21823,20199,16888,19459,15465,17991,15781,"
"
U12465_at,11717,13384,15305,8594,9228,13108,12381,14170,15243,9870,13341,15307,13959,19655,9728,13478,15004,13952,9481,13457,12587,9376,14533,16783,13553,13106,11018,14247,10649,11778,14867,14904,13617,14686,11044,16011,13729,12972,"
"
U14193_at,796,845,1004,561,635,327,709,864,756,4324,491,476,1538,990,447,841,628,541,606,849,1002,359,851,619,769,578,434,404,596,574,563,525,643,423,492,570,490,523,"
"
U14603_at,1890,2181,2529,2189,2286,1585,1467,2474,950,1632,1524,1254,3293,3029,2362,2342,953,1087,608,10296,14096,9598,12997,4089,9121,2393,9083,2616,1709,3624,2507,2710,1807,1528,2535,2917,4251,1975,"
"
U14968_at,13353,16960,15831,8088,14677,12259,14389,17641,17534,11771,13792,13885,15741,20294,14078,17417,11293,15809,18896,16698,16701,13912,16860,16310,17023,17786,16439,18125,14345,13618,15487,15860,16388,18239,14801,16202,17258,16750,"
"
U14969_at,19130,21278,18912,17527,21219,23801,16759,21418,22479,18173,21919,20041,18347,16588,22720,21532,23910,22008,23583,20960,20446,27775,21080,22192,23147,20376,23320,22828,18161,19854,21235,23646,20906,23842,21992,24086,20881,21544,"
"
U14970_at,15119,18977,22706,13829,16708,23652,14555,22167,18559,22617,18433,21885,18636,9454,16949,18952,23573,17287,18082,20593,14278,14611,22701,20348,19724,18743,14085,15446,13349,7353,18585,20339,20625,20972,16164,20234,19183,16561,"
"
U14971_at,12143,13939,15848,7853,9768,13452,10227,15059,14144,10178,12279,9851,14534,5755,13040,12014,16103,11141,9985,14953,11746,10055,16604,15537,12022,11334,6647,13678,9134,7550,15615,17281,16026,17054,13045,16811,14456,13031,"
"
U14972_at,12720,14156,14358,7747,11385,17486,13237,14540,13734,13548,12562,11496,17438,13401,13562,13594,16516,13214,11872,15360,10600,7194,15421,13636,15536,13232,13438,12335,9966,7519,13790,15743,15181,19669,13479,15012,14792,14805,"
"
U14973_at,19398,20331,18998,23847,23243,21290,21565,18202,21257,18229,22269,20855,12927,24478,23412,19490,20965,19275,26047,18006,21078,23824,18535,22041,20012,18057,26503,20318,28671,20088,19174,22047,18811,22740,18877,21503,20260,20125,"
"
U15008_at,7093,7288,8690,3971,5473,8311,5507,10876,9059,7643,5635,5533,13517,12649,5248,6677,7710,5402,4824,10263,10008,6479,13146,9058,9475,8576,6840,5806,3902,4325,7301,7158,7420,8323,6776,6327,4975,4704,"
"
U20998_at,1753,1486,2298,898,1586,426,2151,2901,2523,3295,954,1147,4698,2914,1000,2298,498,753,672,1602,2760,1013,2334,878,2016,2263,1131,408,528,698,786,845,824,1175,440,651,659,580,"
"
U21858_at,425,379,630,379,304,235,395,411,361,824,327,450,1144,1020,360,495,385,361,280,400,632,309,577,517,790,632,432,789,485,527,571,686,695,560,845,512,515,619,"
"
U24105_at,3163,2103,2698,1245,5036,1769,1960,2869,2127,4355,2545,1419,3755,795,2910,2828,1921,2172,3698,3504,2990,3065,3075,1666,2375,2737,2218,2644,2156,2314,3717,4136,3471,2119,4480,2848,3467,4047,"
"
U25789_at,6556,7736,9239,4822,5904,5643,6032,10378,7972,6034,5599,12281,11539,4792,6884,7626,7117,6152,5398,10632,7685,4850,10182,7779,9182,11123,6597,9929,5624,5665,9072,11002,9620,9334,9803,6378,8436,9798,"
"
U28686_at,907,753,892,488,866,987,1055,977,630,825,494,587,3123,939,1404,971,1018,914,430,1789,909,558,1149,1144,2045,990,622,898,747,602,751,1480,938,1017,873,567,1001,1122,"
"
U29607_at,7072,6609,3654,7619,8242,4064,5410,5833,5823,6524,4385,3623,9302,7028,5221,5141,4327,4955,7283,6849,8702,5885,4255,3686,4523,6989,5839,7890,4527,3477,4589,5799,3672,1454,2854,4295,7387,5690,"
"
U30521_at,2191,2336,2824,1591,1720,438,2804,3548,3457,2127,473,558,10059,2444,609,2865,427,422,1625,784,2528,1691,3331,770,703,1661,4620,1048,1180,281,189,314,814,383,564,1517,756,400,"
"
U31930_at,2070,1733,2335,1730,1031,1349,2665,3847,2274,4054,1463,1542,4922,1928,464,2097,1459,2169,1224,1732,3532,2526,4201,4161,2040,2533,2124,1762,1882,1524,1549,1464,2373,1310,1409,1517,1730,1039,"
"
U33286_at,280,297,1017,357,332,112,702,977,433,861,385,380,1236,431,128,760,164,445,280,190,609,273,713,250,681,448,210,233,259,385,167,485,238,157,202,155,105,189,"
"
U33818_at,573,601,1237,693,469,359,577,862,588,764,1375,447,1645,1243,479,1038,423,440,467,552,595,449,726,1285,621,619,505,873,569,770,854,979,872,566,1187,643,622,568,"
"
U33821_at,1799,1795,1505,1849,1689,467,996,1812,1173,1921,558,1199,2855,1095,832,1424,1374,484,1545,1453,2641,1191,1497,965,1616,1244,1389,2506,1067,1776,2730,2054,2039,1931,2247,1712,2449,1788,"
"
U37690_at,1490,1646,2385,1345,1506,1770,1249,2299,1680,2113,1365,1228,2455,3779,966,1871,1768,1523,980,2250,1817,2140,2726,1601,1540,2190,903,2197,1514,1780,2715,2538,1563,2043,2711,2611,1854,1951,"
"
U38846_at,2170,2703,4006,2145,1295,789,2389,3210,2673,3508,2382,2148,6661,1700,566,2613,1271,1969,1370,1407,2048,1250,4200,1613,1850,2680,1255,1162,899,891,965,1145,1563,1029,1374,1235,998,579,"
"
U39317_at,1253,820,1179,924,692,500,1253,1396,892,385,1135,1019,2358,2709,1107,421,691,637,204,632,995,752,1444,775,1081,666,558,463,396,1147,1222,1296,844,682,1363,1058,584,1175,"
"
U39318_at,1123,1637,1604,1713,1677,883,1429,1592,1606,1869,1033,871,2186,873,1935,1337,1455,825,926,2099,2251,1296,2317,1570,2212,1454,1339,1436,815,1977,3402,2842,2097,1654,1951,1327,2284,3173,"
"
U40343_at,914,1349,1022,774,385,538,953,1665,794,804,503,639,1302,590,3491,1373,552,709,616,814,1648,174,1604,1093,960,686,637,517,286,2044,684,944,656,507,1179,435,790,678,"
"
U41371_at,1149,1039,935,954,1161,426,1454,1522,958,983,944,918,1982,955,843,1111,679,1116,583,807,1534,1200,1729,1344,1514,1160,1012,1023,815,1460,1496,1261,1148,876,952,1284,1663,1171,"
"
U43286_at,563,578,654,589,512,286,864,965,639,775,1332,356,1314,590,458,815,405,384,214,714,614,254,324,561,646,764,518,298,341,245,372,475,475,488,639,691,926,596,"
"
U44839_at,4819,5135,3116,5237,6748,1964,6131,4403,3924,4226,2618,3945,6650,1847,3406,4697,3728,3011,1282,4231,5747,4125,4628,4265,3880,4149,4245,4917,3767,3658,4752,4728,4777,2192,4923,4686,5433,6702,"
"
U46025_at,2696,3155,2594,3844,1319,2069,2083,4825,3039,4167,1016,3675,4846,1587,1001,3229,2601,2329,1462,2193,2312,1031,4217,3342,3146,2763,1963,2037,1565,2496,2849,1044,2586,1575,3899,1364,2311,1755,"
"
U49785_at,1258,1111,1087,1011,610,596,835,1135,1309,1183,1122,964,2091,1276,804,1304,954,1237,353,701,1783,739,965,1063,774,982,572,1264,1154,1153,981,983,1165,567,1197,1058,848,637,"
"
U49869_rna1_at,12454,13477,14846,14222,19363,10557,20407,18153,13574,11827,9209,18884,22282,22336,13893,15811,15225,10185,12491,19697,20413,18192,19818,21770,18172,16533,19392,9245,7021,12569,16520,22815,14905,15612,17030,15590,14680,15907,"
"
U49973_xpt1_at,1137,1091,907,846,1098,589,999,1333,1228,1475,1142,527,1651,474,874,1119,779,1254,1264,1122,1249,1081,724,954,854,1260,976,1171,730,793,1084,1388,1079,408,1113,906,1267,1129,"
"
U50523_at,2567,2902,3550,1594,1233,1927,1466,3512,2470,4041,3656,1099,2987,517,1350,2033,1211,2556,481,3975,3091,1877,3612,993,2409,3438,1774,3658,2265,3806,3068,2467,2161,1963,5051,3675,3723,1768,"
"
U51004_at,2534,2534,3891,2318,993,3879,2621,3409,2646,2919,3132,2654,5839,3138,2285,2711,2925,1708,1281,2294,5635,2597,5930,3485,4243,5620,2120,6829,3337,2787,4641,5071,8524,5812,5144,5936,2541,4465,"
"
U51478_at,3756,2534,3849,2160,3314,1330,3002,4275,2937,4455,1489,1951,7798,1472,3146,3906,1775,2988,1594,2271,1861,1365,4335,1938,1488,2186,1389,2293,2214,2863,1842,1793,5098,1710,2442,2101,2801,3921,"
"
